,day,employee_headcount,company_id
0,2011-01-23,0,7
1,2011-01-23,0,4
2,2011-01-23,0,2
3,2011-01-23,0,9
4,2011-01-23,0,1
5,2011-01-23,0,6
6,2011-01-23,0,10
7,2011-01-23,0,5
8,2011-01-23,0,3
9,2011-01-23,0,8
10,2011-01-23,0,11
11,2011-01-23,0,12
12,2011-01-24,1,7
13,2011-01-24,12,4
14,2011-01-24,17,2
15,2011-01-24,3,9
16,2011-01-24,25,1
17,2011-01-24,3,6
18,2011-01-24,0,10
19,2011-01-24,5,5
20,2011-01-24,9,3
21,2011-01-24,6,8
22,2011-01-24,0,11
23,2011-01-24,0,12
24,2011-01-25,1,7
25,2011-01-25,12,4
26,2011-01-25,19,2
27,2011-01-25,3,9
28,2011-01-25,27,1
29,2011-01-25,3,6
30,2011-01-25,0,10
31,2011-01-25,5,5
32,2011-01-25,10,3
33,2011-01-25,6,8
34,2011-01-25,0,11
35,2011-01-25,0,12
36,2011-01-26,1,7
37,2011-01-26,13,4
38,2011-01-26,19,2
39,2011-01-26,3,9
40,2011-01-26,29,1
41,2011-01-26,3,6
42,2011-01-26,0,10
43,2011-01-26,6,5
44,2011-01-26,12,3
45,2011-01-26,6,8
46,2011-01-26,0,11
47,2011-01-26,0,12
48,2011-01-27,1,7
49,2011-01-27,13,4
50,2011-01-27,19,2
51,2011-01-27,3,9
52,2011-01-27,29,1
53,2011-01-27,3,6
54,2011-01-27,0,10
55,2011-01-27,6,5
56,2011-01-27,12,3
57,2011-01-27,6,8
58,2011-01-27,0,11
59,2011-01-27,0,12
60,2011-01-28,1,7
61,2011-01-28,13,4
62,2011-01-28,19,2
63,2011-01-28,3,9
64,2011-01-28,29,1
65,2011-01-28,3,6
66,2011-01-28,0,10
67,2011-01-28,6,5
68,2011-01-28,12,3
69,2011-01-28,6,8
70,2011-01-28,0,11
71,2011-01-28,0,12
72,2011-01-29,1,7
73,2011-01-29,13,4
74,2011-01-29,19,2
75,2011-01-29,3,9
76,2011-01-29,29,1
77,2011-01-29,3,6
78,2011-01-29,0,10
79,2011-01-29,6,5
80,2011-01-29,12,3
81,2011-01-29,6,8
82,2011-01-29,0,11
83,2011-01-29,0,12
84,2011-01-30,1,7
85,2011-01-30,13,4
86,2011-01-30,19,2
87,2011-01-30,3,9
88,2011-01-30,29,1
89,2011-01-30,3,6
90,2011-01-30,0,10
91,2011-01-30,6,5
92,2011-01-30,12,3
93,2011-01-30,6,8
94,2011-01-30,0,11
95,2011-01-30,0,12
